date_cet,market,price_value
2026-03-01,DayAhead,35.62489583333333
2026-03-02,DayAhead,61.08114583333333
2026-03-03,DayAhead,82.92151041666666
2026-03-04,DayAhead,111.22989583333333
2026-03-05,DayAhead,97.05192708333334
2026-03-06,DayAhead,98.11598958333333
2026-03-07,DayAhead,86.10109375
2026-03-01,IDA1,35.60875
2026-03-02,IDA1,60.55052083333334
2026-03-03,IDA1,88.19875
2026-03-04,IDA1,111.00760416666667
2026-03-05,IDA1,92.81124999999999
2026-03-06,IDA1,99.40406250000001
2026-03-07,IDA1,87.56942708333334
2026-03-01,IDA2,33.82817708333334
2026-03-02,IDA2,60.38822916666667
2026-03-03,IDA2,89.27260416666667
2026-03-04,IDA2,106.63229166666667
2026-03-05,IDA2,88.80911458333333
2026-03-06,IDA2,101.84958333333333
2026-03-07,IDA2,91.20328124999999
2026-03-01,IDA3,40.85125
2026-03-02,IDA3,74.45854166666668
2026-03-03,IDA3,98.7396875
2026-03-04,IDA3,92.4634375
2026-03-05,IDA3,83.29979166666666
2026-03-06,IDA3,108.86041666666667
2026-03-07,IDA3,86.971875
2026-03-01,IntradayVWAP,30.938802083333332
2026-03-02,IntradayVWAP,61.35166666666667
2026-03-03,IntradayVWAP,99.01406250000001
2026-03-04,IntradayVWAP,92.26520833333332
2026-03-05,IntradayVWAP,90.33020833333335
2026-03-06,IntradayVWAP,116.16302083333333
2026-03-07,IntradayVWAP,101.21171875
