area_name,market,yesterday,today,yesterday_avg,today_avg,change_abs,change_pct
FR,DayAhead,2026-03-08,2026-03-09,77.07656250000001,120.66229166666666,43.58572916666665,56.548615756789424
FR,IDA1,2026-03-08,2026-03-09,75.47885416666666,121.34781249999999,45.868958333333325,60.770607661914134
FR,IDA2,2026-03-08,2026-03-09,79.90010416666667,125.8125,45.912395833333335,57.46224778075748
FR,IDA3,2026-03-08,2026-03-09,76.73229166666667,128.97208333333333,52.23979166666666,68.08058319644869
FR,IntradayVWAP,2026-03-08,2026-03-09,73.83583333333333,120.61874999999999,46.782916666666665,63.36072142026794
GER,DayAhead,2026-03-08,2026-03-09,103.13,135.78739583333333,32.65739583333334,31.666242444810766
GER,IDA1,2026-03-08,2026-03-09,99.30447916666667,136.53625,37.23177083333333,37.492539254796114
GER,IDA2,2026-03-08,2026-03-09,98.73114583333334,133.92020833333333,35.18906249999999,35.64129860237027
GER,IDA3,2026-03-08,2026-03-09,93.158125,152.98916666666665,59.83104166666665,64.22525320970838
GER,IntradayVWAP,2026-03-08,2026-03-09,96.92875,137.47583333333333,40.54708333333333,41.83184383718282
